price_zar,city,suburb,property_type,bedrooms,bathrooms,parkings,floor_size_m2,erf_size_m2,title,source_text,province,garages
3710000.0,,Jameson,House,3.0,3.0,2.0,121.0,,,50 Jameson,Gauteng,0.0
2180000.0,,Jameson,Apartment,2.0,2.0,2.0,65.0,,,50 Jameson,Gauteng,0.0
1305000.0,,Jameson,Apartment,1.0,1.0,1.0,33.0,,,50 Jameson,Gauteng,0.0
1290000.0,,East,Apartment,2.0,2.0,2.0,79.0,,,"777 First Avenue Complex, 30 1st Avenue East",Gauteng,0.0
1350000.0,,Crescent,Townhouse,2.0,1.0,1.0,105.0,,,"Unit 2, Sunset Forest, 22 Swempie Crescent",Gauteng,0.0
670000.0,,Meredale,Apartment,1.0,1.0,2.0,49.0,,,"Miami Gardens, 55 Murrray Avenue, Meredale",Gauteng,0.0
2299000.0,,Parkwood,Apartment,2.0,2.0,1.0,76.0,,,"39 Ashford Road, Parkwood",Gauteng,0.0
765000.0,,Lane,Apartment,2.0,1.0,1.0,70.0,,,"16 Aquila, 10 Middle Lane",Gauteng,0.0
740000.0,,Dawn,Apartment,2.0,2.0,1.0,80.0,,,"1389 Zeiss Road, Eagle Dawn",Gauteng,0.0
250000.0,,Lily,House,4.0,1.0,1.0,1239.0,,,24 Lily,Gauteng,0.0
850000.0,,Place,Townhouse,2.0,1.0,1.0,113.0,,,"9 Ss Juliana, 4 Princess Place",Gauteng,0.0
1100000.0,,Werf,Apartment,2.0,1.0,1.0,80.0,,,Braamfontein Werf,Gauteng,0.0
799900.0,,Parks,Apartment,1.0,1.0,1.0,43.0,,,"1 Stanley Park, 1 754 Oakdene Parks",Gauteng,0.0
765000.0,,Place,Apartment,2.0,1.0,1.0,70.0,,,"Aquila, 15ac Lynton Place",Gauteng,0.0
850000.0,,Roud,Apartment,1.0,1.0,1.0,52.0,,,"718 Route 82 Security Complex, 1b Vereenegen Roud",Gauteng,0.0
850000.0,,Roud,Apartment,1.0,1.0,1.0,52.0,,,"718 Route 82 Security Complex, 1b Vereenegen Roud",Gauteng,0.0
649950.0,,Vincent,House,3.0,2.0,2.0,123.0,,,18 Vincent Road,Eastern Cape,0.0
375000.0,,Korte,House,4.0,1.0,1.0,995.0,,,98 De Korte,Gauteng,0.0
1499999.0,,Killarney,House,3.0,2.0,1.0,158.0,,,39 3rd St Killarney,Gauteng,0.0
1650000.0,,Alexandra,Apartment,2.0,1.0,1.0,85.0,,,"Craighall Estate, 63 Alexandra Ave, Craighall",Gauteng,0.0
2199999.0,,George,House,3.0,1.0,1.0,123.0,,,28 George Street,Western Cape,0.0
2295000.0,,North,House,3.0,2.5,4.0,180.0,,,"22 Ss Villa Della Montagna, 51 Alwyn Avenue North",Gauteng,0.0
5500000.0,,South,House,4.0,1.0,1.0,1320.0,,,Piketberg Pl Lenasia South,Gauteng,0.0
765000.0,,Lane,Apartment,1.0,1.0,1.0,7.0,,,"16 Ss Aquila, 10 Middle Lane",Gauteng,0.0
1690000.0,,Whiteley,Apartment,1.0,1.0,3.0,44.0,,,"543 Ss One On Whiteley, 1 Whiteley",Gauteng,0.0
895000.0,,Place,Apartment,1.0,1.0,1.0,59.0,,,5 Rocky Place,Gauteng,0.0
799419.0,,Village,Apartment,1.0,1.0,1.0,53.0,,,958 Route 82 Security Estate Village,Gauteng,0.0
500000.0,,South,Apartment,1.0,1.0,2.0,53.0,,,14a Redbuck Road Elandspark Johannesburg South,Gauteng,0.0
